"date","time","city","venue","link","vip"
09/22/2016,6:00PM,"San Diego, CA",Balboa Theatre,http://www.ticketmaster.com/event/0A005095E4D237E8,http://www.cidentertainment.com/events/octonauts-tour-2016/
09/23/2016,6:00PM,"Riverside, CA",Fox Performing Arts Center,http://concerts.livenation.com/event/0B005096D50F4D61,http://www.cidentertainment.com/events/octonauts-tour-2016/
09/24/2016,5:00PM,"Santa Barbara, CA",Arlington Theater,http://www.ticketmaster.com/octonauts-live-santa-barbara-california-09-24-2…005098B2E61CE9,http://www.cidentertainment.com/events/octonauts-tour-2016/
09/25/2016,5:00PM,"Stockton, CA",Bob Hope Theater,http://www.ticketmaster.com/octonauts-live-stockton-california-09-25-2016/e…005094A4DF3585,http://www.cidentertainment.com/events/octonauts-tour-2016/
09/27/2016,6:00PM,"San Jose, CA",City National Civic,http://www.ticketmaster.com/octonauts-live-san-jose-california-09-27-2016/e…005099BAB52838,http://www.cidentertainment.com/events/octonauts-tour-2016/
09/28/2016,6:00PM,"Redding, CA",Redding Civic Auditorium,http://www.etix.com/ticket/p/7109167/the-octonauts-live-redding-redding-civic-auditorium,http://www.cidentertainment.com/events/octonauts-tour-2016/
09/29/2016,6:00PM,"Bakersfield, CA",Fox Theater,http://www.ticketmaster.com/octonauts-live-bakersfield-california-09-29-201…005095EEEA6C3B,http://www.cidentertainment.com/events/octonauts-tour-2016/
09/30/2016,6:00PM,"Las Vegas, NV",Cox Pavilion,http://octonautsliveus.com/events/379643,http://www.cidentertainment.com/events/octonauts-tour-2016/
10/01/2016,2:00PM,"Los Angeles, CA",Microsoft Theater,http://axs.com/events/309766/octonauts-live-tickets,http://www.cidentertainment.com/events/octonauts-tour-2016/
10/02/2016,5:00PM,"Phoenix, AZ",Comerica Theatre,http://www.ticketmaster.com/event/19005094F3813C12,http://www.cidentertainment.com/events/octonauts-tour-2016/
10/05/2016,6:00PM,"Austin, TX",ACL Live at The Moody Theater,http://shrsl.com/?~c9gn,http://www.cidentertainment.com/events/octonauts-tour-2016/
10/06/2016,6:00PM,"San Antonio, TX",Majestic Theater,http://www.ticketmaster.com/octonauts-live-san-antonio-texas-10-06-2016/eve…005094E5E35E95,http://www.cidentertainment.com/events/octonauts-tour-2016/
10/07/2016,6:00PM,"Grand Prairie, TX",Verizon Theatre at Grand Prairie,http://www.axs.com/events/309931/the-octonauts-live-tickets,http://www.cidentertainment.com/events/octonauts-tour-2016/
10/08/2016,5:00PM,"Tulsa, OK",Brady Theater,http://octonautsliveus.com/events/379693,http://www.cidentertainment.com/events/octonauts-tour-2016/
10/09/2016,5:00PM,"Houston, TX",Revention Music Center,http://concerts.livenation.com/event/3A00509934500928?crosssite=TM_US:20253…2025335:475416,http://www.cidentertainment.com/events/octonauts-tour-2016/
10/10/2016,6:00PM,"New Orleans, LA",Mahalia Jackson Theater of the Performing Arts,http://www.ticketmaster.com/event/1B005094D74CA160,http://www.cidentertainment.com/events/octonauts-tour-2016/
10/12/2016,6:00PM,"Shreveport, LA",Municipal Auditorium of Shreveport,http://www.ticketmaster.com/event/1B00509A5A2C0D46,http://www.cidentertainment.com/events/octonauts-tour-2016
10/13/2016,6:00PM,"Oklahoma City, OK",Hudson Performance Hall,http://octonautsliveus.com/events/380503,http://www.cidentertainment.com/events/octonauts-tour-2016
10/14/2016,6:00PM,"St. Louis, MO",Fox Theater,http://ev3.evenue.net/cgi-bin/ncommerce3/SEGetEventList?groupCode=FOX14OCT1…ID=metro-foxsl,http://www.cidentertainment.com/events/octonauts-tour-2016/
